# qwen35moe (Qwen3.6-35B-A3B-Q4_K_M) per-layer oracle fingerprints
# prompt tokens: 785 3974 13876 38835 35308 916 ; last-token column; sum/absum/v0..v2
# from llama.cpp g35moe_oracle_dbg (cb_eval). Stage-2a localization targets (relative, not bit-exact: oracle Q4 vs SP f32).

ORC conv_output_silu-0 ne=[8192,6] sum=353.00842 absum=540.09458 v0=-0.000679 v1=0.064303 v2=-0.016276
ORC attn_output-0      ne=[128,32] sum=0.00669 absum=0.01319 v0=-0.000041 v1=-0.000015 v2=-0.000010
ORC final_output-0     ne=[4096,6] sum=-4.02565 absum=16.90159 v0=-0.000510 v1=-0.002151 v2=-0.001849
ORC linear_attn_out-0  ne=[2048,6] sum=-0.08995 absum=18.96083 v0=0.010760 v1=0.008019 v2=0.000489
ORC linear_attn_out-0 (reshaped) ne=[2048,6] sum=-0.08995 absum=18.96083 v0=0.010760 v1=0.008019 v2=0.000489
ORC ffn_moe_out-0      ne=[2048,6] sum=-0.07928 absum=5.00832 v0=0.000807 v1=-0.001355 v2=0.002001
ORC ffn_out-0          ne=[2048,6] sum=-0.08494 absum=8.06490 v0=-0.000119 v1=-0.001381 v2=0.008591
ORC l_out-0            ne=[2048,6] sum=-0.00767 absum=27.79655 v0=0.014615 v1=0.003366 v2=0.005808
ORC conv_output_silu-1 ne=[8192,6] sum=132.03259 absum=296.68508 v0=-0.000074 v1=0.010864 v2=-0.002612
ORC attn_output-1      ne=[128,32] sum=0.02724 absum=0.03181 v0=-0.000312 v1=-0.000087 v2=-0.000002
ORC final_output-1     ne=[4096,6] sum=-0.35581 absum=12.11762 v0=-0.019704 v1=0.000305 v2=-0.003366
ORC linear_attn_out-1  ne=[2048,6] sum=0.30046 absum=10.96998 v0=0.009367 v1=0.008085 v2=0.005195
ORC linear_attn_out-1 (reshaped) ne=[2048,6] sum=0.30046 absum=10.96998 v0=0.009367 v1=0.008085 v2=0.005195
ORC ffn_moe_out-1      ne=[2048,6] sum=-0.31481 absum=11.89253 v0=0.006438 v1=-0.001995 v2=0.008591
